name,color
Acura/MDX, #76C08E
Acura/RDX, #76C08E
Audi/Q5, #377DB8
BMW/3 Series, #F5DEB3
BMW/5 Series, #F5DEB3
BMW/X3, #F5DEB3
BMW/X5, #F5DEB3
Chevrolet/Silverado 1500, #D7E6F3
Ford/F-150, #CCCCCC
Ford/Escape, #CCCCCC
Ford/Explorer, #CCCCCC
Ford/Fusion, #CCCCCC
Honda/Accord, #F8CC6E
Honda/CR-V, #F8CC6E
Honda/Civic, #F8CC6E
Honda/Odyssey, #F8CC6E
Honda/Pilot, #F8CC6E
Honda/Fit, #F8CC6E
Hyundai/Sonata, #E3F86E
Hyundai/Elantra, #E3F86E
Hyundai/Santa Fe Sport, #E3F86E
Jeep/Grand Cherokee, #C3F86E
Jeep/Cherokee, #C3F86E
Jeep/Wrangler Unlimited, #C3F86E
Kia/Soul, #6EF877
Kia/Optima, #6EF877
Lexus/RX 350, #6EF897
Lexus/ES 350, #6EF897
Mazda/MAZDA3, #6EF8B7
Mazda/CX-5, #6EF8B7
Mazda/MAZDA6, #6EF8B7
Mercedes-Benz/E-Class, #6EF8D8
Mercedes-Benz/C-Class, #6EF8D8
Mercedes-Benz/M-Class, #6EF8D8
Nissan/Altima, #6EBAF8
Nissan/Rogue, #6EBAF8
Nissan/Pathfinder, #6EBAF8
Subaru/Forester, #826EF8
Subaru/Outback, #826EF8
Subaru/Impreza, #826EF8
Subaru/XV Crosstrek, #826EF8
Toyota/Camry, #F86EEF
Toyota/RAV4, #F86EEF
Toyota/Highlander, #F86EEF
Toyota/Corolla, #F86EEF
Toyota/Prius, #F86EEF
Toyota/Sienna, #F86EEF
Toyota/Tacoma, #F86EEF
Volkswagen/Jetta, #708090
Volkswagen/Passat, #708090